Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-13-0-0-0-0-0-0-0-0-0-0-0-0-0	0	1
A	HLA-Aw0-0-0-41-0-0-0-0-0-0-0-0-0-0-0-0-0	4	7
A	HLA-Aw0-0-0-45-0-0-0-0-0-0-0-0-0-0-0-0-0	7	10
A	HLA-Aw0-0-0-47-0-0-0-0-0-0-0-0-0-0-0-0-0	1	4
A	HLA-Aw0-0-0-49-0-0-0-0-0-0-0-0-0-0-0-0-0	0	6
A	HLA-Aw0-0-0-52-0-0-0-0-0-0-0-0-0-0-0-0-0	4	13
A	HLA-Aw0-0-0-59-0-0-0-0-0-0-0-0-0-0-0-0-0	0	4
A	HLA-Aw0-0-0-61-0-0-0-0-0-0-0-0-0-0-0-0-0	0	2
A	HLA-Aw0-0-0-65-0-0-0-0-0-0-0-0-0-0-0-0-0	5	10
A	HLA-Aw0-0-0-67-0-0-0-0-0-0-0-0-0-0-0-0-0	0	5
A	HLA-Aw0-0-0-8-0-0-0-0-0-0-0-0-0-0-0-0-0	0	2
A	HLA-Aw0-0-0-9-0-0-0-0-0-0-0-0-0-0-0-0-0	0	1
C	HLA-Cw0-0-0-1-0-0-0-0-0-0-0-0-0-0-0-0-0	2	9
C	HLA-Cw0-0-0-101-0-0-0-0-0-0-0-0-0-0-0-0-0	1	1
C	HLA-Cw0-0-0-103-0-0-0-0-0-0-0-0-0-0-0-0-0	0	4
C	HLA-Cw0-0-0-12-0-0-0-0-0-0-0-0-0-0-0-0-0	2	13
C	HLA-Cw0-0-0-23-0-0-0-0-0-0-0-0-0-0-0-0-0	1	0
C	HLA-Cw0-0-0-55-0-0-0-0-0-0-0-0-0-0-0-0-0	2	5
C	HLA-Cw0-0-0-78-0-0-0-0-0-0-0-0-0-0-0-0-0	3	13
C	HLA-Cw0-0-0-820-0-0-0-0-0-0-0-0-0-0-0-0-0	0	1
C	HLA-Cw0-0-0-91-0-0-0-0-0-0-0-0-0-0-0-0-0	1	1
C	HLA-Cw0-0-0-94-0-0-0-0-0-0-0-0-0-0-0-0-0	5	10
B	HLA-Bw0-0-0-114-0-0-0-0-0-0-0-0-0-0-0	0	3
B	HLA-Bw0-0-0-122-0-0-0-0-0-0-0-0-0-0-0	5	10
B	HLA-Bw0-0-0-129-0-0-0-0-0-0-0-0-0-0-0	1	1
B	HLA-Bw0-0-0-19-0-0-0-0-0-0-0-0-0-0-0	2	3
B	HLA-Bw0-0-0-23-0-0-0-0-0-0-0-0-0-0-0	3	10
B	HLA-Bw0-0-0-24-0-0-0-0-0-0-0-0-0-0-0	0	7
B	HLA-Bw0-0-0-27-0-0-0-0-0-0-0-0-0-0-0	0	1
B	HLA-Bw0-0-0-34-0-0-0-0-0-0-0-0-0-0-0	1	1
B	HLA-Bw0-0-0-42-0-0-0-0-0-0-0-0-0-0-0	1	0
B	HLA-Bw0-0-0-47-0-0-0-0-0-0-0-0-0-0-0	0	1
B	HLA-Bw0-0-0-49-0-0-0-0-0-0-0-0-0-0-0	7	9
B	HLA-Bw0-0-0-63-0-0-0-0-0-0-0-0-0-0-0	0	9
B	HLA-Bw0-0-0-66-0-0-0-0-0-0-0-0-0-0-0	2	4
B	HLA-Bw0-0-0-72-0-0-0-0-0-0-0-0-0-0-0	0	1
B	HLA-Bw0-0-0-79-0-0-0-0-0-0-0-0-0-0-0	5	10
B	HLA-Bw0-0-0-96-0-0-0-0-0-0-0-0-0-0-0	2	5
DRB1	HLA-DRB1w0-0-0-1110-0-0-0-0-0-0-0-0-0	5	3
DRB1	HLA-DRB1w0-0-0-1182-0-0-0-0-0-0-0-0-0	7	9
DRB1	HLA-DRB1w0-0-0-1198-0-0-0-0-0-0-0-0-0	2	7
DRB1	HLA-DRB1w0-0-0-1210-0-0-0-0-0-0-0-0-0	1	7
DRB1	HLA-DRB1w0-0-0-1217-0-0-0-0-0-0-0-0-0	0	1
DRB1	HLA-DRB1w0-0-0-1451-0-0-0-0-0-0-0-0-0	2	0
DRB1	HLA-DRB1w0-0-0-1685-0-0-0-0-0-0-0-0-0	0	3
DRB1	HLA-DRB1w0-0-0-1845-0-0-0-0-0-0-0-0-0	1	7
DRB1	HLA-DRB1w0-0-0-1856-0-0-0-0-0-0-0-0-0	1	0
DRB1	HLA-DRB1w0-0-0-313-0-0-0-0-0-0-0-0-0	1	2
DRB1	HLA-DRB1w0-0-0-318-0-0-0-0-0-0-0-0-0	1	2
DRB1	HLA-DRB1w0-0-0-330-0-0-0-0-0-0-0-0-0	1	11
DRB1	HLA-DRB1w0-0-0-340-0-0-0-0-0-0-0-0-0	0	1
DRB1	HLA-DRB1w0-0-0-362-0-0-0-0-0-0-0-0-0	2	4
DRB1	HLA-DRB1w0-0-0-44-0-0-0-0-0-0-0-0-0	0	1
DRB1	HLA-DRB1w0-0-0-56-0-0-0-0-0-0-0-0-0	1	5
DRB1	HLA-DRB1w0-0-0-672-0-0-0-0-0-0-0-0-0	2	6
DRB1	HLA-DRB1w0-0-0-681-0-0-0-0-0-0-0-0-0	0	2
DRB1	HLA-DRB1w0-0-0-686-0-0-0-0-0-0-0-0-0	1	0
DRB1	HLA-DRB1w0-0-0-774-0-0-0-0-0-0-0-0-0	0	2
DRB1	HLA-DRB1w0-0-0-812-0-0-0-0-0-0-0-0-0	1	1
DRB1	HLA-DRB1w0-0-0-869-0-0-0-0-0-0-0-0-0	0	1
DRB1	HLA-DRB1w0-0-0-871-0-0-0-0-0-0-0-0-0	2	4
DQB1	HLA-DQB1w0-0-0-132-0-0-0-0-0-0-0-0-0	3	14
DQB1	HLA-DQB1w0-0-0-141-0-0-0-0-0-0-0-0-0	0	1
DQB1	HLA-DQB1w0-0-0-143-0-0-0-0-0-0-0-0-0	1	0
DQB1	HLA-DQB1w0-0-0-339-0-0-0-0-0-0-0-0-0	3	6
DQB1	HLA-DQB1w0-0-0-398-0-0-0-0-0-0-0-0-0	4	8
DQB1	HLA-DQB1w0-0-0-408-0-0-0-0-0-0-0-0-0	2	1
DQB1	HLA-DQB1w0-0-0-422-0-0-0-0-0-0-0-0-0	0	1
DQB1	HLA-DQB1w0-0-0-518-0-0-0-0-0-0-0-0-0	1	5
DQB1	HLA-DQB1w0-0-0-569-0-0-0-0-0-0-0-0-0	2	7
DQB1	HLA-DQB1w0-0-0-587-0-0-0-0-0-0-0-0-0	0	1
DPB1	HLA-DPB1w0-0-0-106-0-0-0-0-0-0-0	2	6
DPB1	HLA-DPB1w0-0-0-119-0-0-0-0-0-0-0	1	2
DPB1	HLA-DPB1w0-0-0-124-0-0-0-0-0-0-0	3	3
DPB1	HLA-DPB1w0-0-0-136-0-0-0-0-0-0-0	4	9
DPB1	HLA-DPB1w0-0-0-150-0-0-0-0-0-0-0	0	2
DPB1	HLA-DPB1w0-0-0-160-0-0-0-0-0-0-0	2	1
DPB1	HLA-DPB1w0-0-0-203-0-0-0-0-0-0-0	1	1
DPB1	HLA-DPB1w0-0-0-26-0-0-0-0-0-0-0	0	1
