Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	2
A	HLA-Aw0-0-20-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	1
C	Nothing.binned	NA	NA
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	3	2
B	HLA-Bw0-0-16-0-0-0-0-0-0-0-0-0-0-0-0	3	3
B	HLA-Bw0-0-18-0-0-0-0-0-0-0-0-0-0-0-0	0	1
B	HLA-Bw0-0-7-0-0-0-0-0-0-0-0-0-0-0-0	1	0
DRB1	HLA-DRB1w0-0-109-0-0-0-0-0-0-0-0-0-0	1	0
DRB1	HLA-DRB1w0-0-13-0-0-0-0-0-0-0-0-0-0	5	4
DRB1	HLA-DRB1w0-0-18-0-0-0-0-0-0-0-0-0-0	2	3
DRB1	HLA-DRB1w0-0-25-0-0-0-0-0-0-0-0-0-0	2	0
DRB1	HLA-DRB1w0-0-99-0-0-0-0-0-0-0-0-0-0	3	4
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	2	1
DQB1	HLA-DQB1w0-0-20-0-0-0-0-0-0-0-0-0-0	3	0
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	1	0
DPB1	HLA-DPB1w0-0-17-0-0-0-0-0-0-0-0	1	0
DPB1	HLA-DPB1w0-0-56-0-0-0-0-0-0-0-0	3	3
DPB1	HLA-DPB1w0-0-64-0-0-0-0-0-0-0-0	3	7
DPB1	HLA-DPB1w0-0-69-0-0-0-0-0-0-0-0	0	1
DPB1	HLA-DPB1w0-0-7-0-0-0-0-0-0-0-0	0	1
